8 Hour Shift,10 Shift,Worker 1 HR,Worker 2 HR,Worker 3 HR,Worker 4 HR,Worker 5 HR,Worker 1 Heat,Worker 2 Heat,Worker 3 Heat,Worker 4 Heat,Worker 5 Heat
1,1,88.32231405,85.6612,,84.3525,92.8788,70.86978834,70.5112566,66,82,82
1,1,84.51639344,94.7934,,125.876,92.4407,77.29695816,,,,
1,1,89.97297297,82.6198,,113.5041,86.8033,80.25159224,,82,113,91
1,1,122.1404959,158.1983,103.2893,135.6777,82.2951,70.5231413,84.50195226,74,98,74
1,1,130.3923077,145.0331,,184.1322,114.0656,72.1903029,66.84043204,,,
1,1,133.6076923,104.4215,124.1488,139.0165,125.377,70.01487518,76.36302164,86,100,97
1,1,78.80620155,124.8678,101.2324,,103.1639,80.55941872,71.55266288,95,80,80
1,1,99.9338843,,109.1411,169.595,123.2459,82.71416668,70.01487518,67,85,83
2,1,137.4214876,69.7107,93.3306,158.2893,,92.27133394,67.34912266,76,102,82
2,1,,80.5537,90.1901,189.5289,,69.19874398,71.7401685,69,75,75
2,2,82.1901,81.0661,,,,76.39166478,71.5029643,73,78,78
2,2,77.438,75.1736,,,,80.1451954,70.16048436,66,76,80
2,2,,,,,,,76.28873806,70,76,77
2,2,,85.9008,,,,,68.93403024,69,75,85
2,2,68.0165,85.843,,,,76.28873806,69.5744851,74,76,76
2,2,64.6198,,,,,75.4534835,69.94003834,74,76,76
3,2,50.0496,90.5124,90.1488,,,72.9354553,71.16317204,73,76,69
3,2,57.5917,91.7934,96.5124,,,72.1903029,64.0604255,67,73,66
3,2,58.438,78.2333,136.5124,106.1157,,80.1451954,68.9990295,,,
3,2,56.6942,85.719,113.6833,97.3388,,71.16317204,95.39278468,78,81,72
3,3,77.22702574,78.843,113.595,107.6446,,64.9587,70.8760567,77,72,72
3,3,,82.5041,82.4959,80.8512,,,70.40659984,77,78,78
3,3,70.55633326,127.5372,105.3388,77.8099,,55.6116,80.11657434,78,76,76
3,3,100.0439193,       NaN,101.8017,167.3058,,57.2314,70.8760567,76,128,71
4,3,70.8760567,80.9091,102.7934,179.5328,,111.157,91.13147396,93,79,72
4,3,,119.4215,101.9262,,,73.843,73.69178494,82,82,69
4,3,80.2761696,72.3388,99.4876,91.6805,,77.025,85.797681,79,83,82
4,3,80.40665022,72.7521,105.8099,94.375,,72.843,73.74973114,76,77,
4,3,73.69178494,83.281,111.0165,137.1494,,74,73.29210396,80,129,72
4,3,73.17315148,92.8099,94.2583,107.7427,,,75.83604278,80,78,78
4,4,74.32839154,80.8017,105.3388,84.5702,,,74.80587764,74,75,80
4,4,75.4534835,       NaN,,121.9091,,,75.58555254,73,81,75
5,4,87.3442015,79.4628,79.1983,115.4298,,55.3554,79.67090522,,,
5,4,89.14034174,       NaN,86.2975,79.5372,,,,71,78,75
5,4,,81.7869,89.4628,112.1157,,95.9421,72.03787422,74,77,88
5,4,74.177516,84.1901,177.8058,91.124,,57.4959,70.86978834,74,74,74
5,4,81.49561858,71.7934,98.2066,,,,73.69178494,71,85,80
5,4,79.8935822,111.405,113.876,103.7355,,,68.6124412,71,90,
5,4,84.230416,72.9339,87.2066,103.876,,,73.69178494,72,100,83
5,4,,80.8678,91.9417,,,,71.86455888,74,,
