Worker 1 Activity,Worker 1 Physio,Worker 1 Pace,Worker 1 Class,Worker 2 Activity,Worker 2 Physio,Worker 2 Pace,Worker 2 Class,Worker 3 Activity,Worker 3 Physio,Worker 3 Pace,Worker 3 Class,Worker 4 Activity,Worker 4 Physio,Worker 4 Pace,Worker 4 Class,Worker 5 Activity,Worker 5 Physio,Worker 5 Pace,Worker 5 Class
2,1,3,2,2,2,2,2,3,2,2,3,4,4,2,3,4,4,2,3
2,1,2,2,2,1,2,2,2,1,1,3,4,3,3,3,1,1,2,2
2,1,0,2,3,2,2,3,3,2,2,3,4,3,3,3,2,2,1,3
2,1,0,2,2,1,1,2,1,1,0,1,4,4,2,3,2,2,2,3
2,1,0,1,1,1,1,2,,,,,1,1,1,1,2,1,1,1
2,,,2,2,2,2,3,4,3,2,3,4,3,2,3,2,2,2,3
3,2,2,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,1,2,2,2,1,1,2,3,2,2,2,2,1,1,2,2,2,1,2
2,2,2,2,1,1,1,2,1,1,0,2,3,2,2,3,2,1,1,2
1,1,0,1,3,2,2,3,3,2,2,3,3,3,2,3,3,2,2,3
1,1,0,2,3,2,2,2,3,2,2,3,3,1,2,2,2,1,2,2
2,2,2,2,1,1,0,1,3,2,2,3,3,3,2,3,2,2,2,2
,,,,3,2,2,3,3,3,2,3,3,3,2,3,3,2,2,3
,,,,3,2,2,2,3,3,2,3,3,3,2,3,4,3,2,3
2,1,1,2,3,2,2,2,3,2,2,3,3,3,2,3,2,1,1,2
2,1,2,2,3,2,2,2,2,2,1,2,3,3,2,3,2,2,2,3
2,2,2,2,3,2,1,2,3,2,2,2,3,3,2,3,3,2,3,3
1,1,0,2,3,3,2,2,2,2,2,2,3,3,2,3,3,2,2,3
2,1,0,2,2,2,2,2,2,1,1,1,3,4,3,3,3,3,2,3
1,1,0,2,3,2,2,2,1,1,0,1,3,,,3,3,3,2,3
2,,,2,2,2,2,2,4,4,2,3,4,3,2,2,3,2,2,2
,,,,2,2,2,2,4,4,2,3,3,3,2,3,3,3,2,3
2,1,0,2,2,2,2,2,4,4,2,3,3,3,2,3,2,1,0,2
2,1,0,2,2,1,0,2,4,4,2,3,2,1,0,2,2,1,0,2
2,2,2,2,2,1,0,2,3,3,2,3,3,3,2,3,2,2,2,2
2,2,2,2,1,1,0,2,4,3,2,3,2,2,2,3,4,4,2,2
2,1,0,2,2,1,2,2,2,1,1,1,3,3,2,3,2,2%,2,2
2,1,0,2,1,1,0,1,4,4,3,3,2,2,0,2,,,,
2,1,0,2,2,1,0,2,4,3,2,2,2,2,2,2,3,3,2,3
2,1,0,2,2,1,2,2,4,4,3,2,2,2,1,3,3,2,2,3
2,2,2,2,2,1,2,2,4,3,2,3,2,2,2,2,2,1,0,2
3,2,2,2,2,2,1,2,2,2,1,2,4,3,2,2,2,2,2,2
3,3,2,2,2,1,2,2,4,4,3,3,2,2,2,2,2,2,2,2
2,3,2,2,,,,,2,2,2,3,3,3,2,2,2,2,2,2
,,,,2,2,2,2,2,3,2,3,2,1,2,2,2,2,2,2
2,1,0,2,2,2,2,2,3,4,2,3,2,1,0,2,2,1,0,2
2,1,0,2,1,1,0,2,3,4,2,3,2,2,2,2,2,,,2
2,2,0,1,2,2,2,2,3,4,2,3,3,4,2,3,,,,
3,2,2,2,2,1,0,2,3,3,2,3,4,4,2,3,2,1,2,2
,,,,2,1,2,2,3,1,2,3,,,,,,,,
